sgg_cd,apt_seq,exclu_use_ar,area_status,kapt_code,kapt_area,households,group_id,group_label,group_areas,apt_nm
11470,11470-4594,84.86,면적 매칭,A15870701,84.86,116,84.51,85,84.51|84.86|84.96,이펜하우스1단지
11470,11470-4594,114.98,면적 매칭,A15870701,114.98,55,114.73,115,114.73|114.98,이펜하우스1단지
11470,11470-46,84.76,면적 매칭,A15805002,84.76,756,84.7,85,84.7|84.71|84.76|84.77,목동청구한신아파트
11470,11470-46,84.77,면적 매칭,A15805002,84.77,754,84.7,85,84.7|84.71|84.76|84.77,목동청구한신아파트
11470,11470-4600,59.93,면적 매칭,A15879502,59.93,175,59.88,60,59.88|59.9|59.93|59.94|59.95,이펜하우스3단지
11470,11470-4600,84.51,면적 매칭,A15879502,84.51,44,84.51,85,84.51|84.68|84.86|84.96,이펜하우스3단지
11470,11470-4600,84.86,면적 매칭,A15879502,84.86,117,84.51,85,84.51|84.68|84.86|84.96,이펜하우스3단지
11470,11470-4600,84.96,면적 매칭,A15879502,84.96,22,84.51,85,84.51|84.68|84.86|84.96,이펜하우스3단지
11470,11470-4600,114.98,면적 매칭,A15879502,114.98,102,114.98,115,114.98,이펜하우스3단지
11470,11470-4601,59.93,면적 매칭,A15807004,59.93,68,59.83,60,59.83|59.88|59.9|59.93|59.94,이펜하우스4단지
11470,11470-4601,84.51,면적 매칭,A15807004,84.51,49,84.51,85,84.51|84.86|84.95|84.96,이펜하우스4단지
11470,11470-4601,84.86,면적 매칭,A15807004,84.86,62,84.51,85,84.51|84.86|84.95|84.96,이펜하우스4단지
11470,11470-4601,84.96,면적 매칭,A15807004,84.96,130,84.51,85,84.51|84.86|84.95|84.96,이펜하우스4단지
11470,11470-4611,72.4629,K-apt 면적정보 없음,,,,72.4629,72,72.4629|72.7736,엘리온
11470,11470-4611,72.7736,K-apt 면적정보 없음,,,,72.4629,72,72.4629|72.7736,엘리온
11470,11470-4614,79.34,K-apt 면적정보 없음,,,,79.34,79,79.34|79.6,흥인아이젠
11470,11470-4614,79.6,K-apt 면적정보 없음,,,,79.34,79,79.34|79.6,흥인아이젠
11470,11470-47,119.1,K-apt 면적정보 없음,,,,119.1,119,119.1|119.16,한신빌라트1
11470,11470-47,119.16,K-apt 면적정보 없음,,,,119.1,119,119.1|119.16,한신빌라트1
11470,11470-4729,65.4533,K-apt 면적정보 없음,,,,65.4533,65,65.4533,동원데자뷰
11470,11470-4729,76.6408,K-apt 면적정보 없음,,,,76.6408,77,76.6408,동원데자뷰
11470,11470-4729,84.9253,K-apt 면적정보 없음,,,,84.9253,85,84.9253|84.9375|84.9755,동원데자뷰
11470,11470-4729,84.9375,K-apt 면적정보 없음,,,,84.9253,85,84.9253|84.9375|84.9755,동원데자뷰
11470,11470-4729,84.9755,K-apt 면적정보 없음,,,,84.9253,85,84.9253|84.9375|84.9755,동원데자뷰
11470,11470-4743,59.78,면적 매칭,A15883401,59.78,21,59.78,60,59.78,신정두산위브
11470,11470-4743,75.63,면적 매칭,A15883401,75.63,84,75.63,76,75.63,신정두산위브
11470,11470-4743,84.04,면적 매칭,A15883401,84.04,80,84.04,84,84.04|84.22,신정두산위브
11470,11470-4743,84.22,면적 매칭,A15883401,84.22,78,84.04,84,84.04|84.22,신정두산위브
11470,11470-4743,107.57,면적 매칭,A15883401,107.57,33,107.57,108,107.57,신정두산위브
11470,11470-48,57.84,면적 매칭,A15882006,57.84,36,57.84,58,57.84,현대
11470,11470-48,59.31,면적 매칭,A15882006,59.31,15,59.31,59,59.31|59.46,현대
11470,11470-48,59.46,면적 매칭,A15882006,59.46,15,59.31,59,59.31|59.46,현대
11470,11470-48,83.16,면적 매칭,A15882006,83.16,143,83.16,83,83.16,현대
11470,11470-4894,59.5,K-apt 면적정보 없음,,,,59.5,60,59.5,동구햇살아파트2차
11470,11470-4894,61.91,K-apt 면적정보 없음,,,,61.91,62,61.91,동구햇살아파트2차
11470,11470-49,79.71,K-apt 면적정보 없음,,,,79.71,80,79.71,삼도
11470,11470-4926,83.52,K-apt 면적정보 없음,,,,83.52,84,83.52,덕현해밀(101동)
11470,11470-4926,84.98,K-apt 면적정보 없음,,,,84.98,85,84.98,덕현해밀(101동)
11470,11470-4936,84.5714,K-apt 면적정보 없음,,,,84.5714,85,84.5714,은성마을승윤노블리안
11470,11470-4948,59.74,K-apt 면적정보 없음,,,,59.74,60,59.74|59.91,삼익플라주행복한마을
11470,11470-4948,59.91,K-apt 면적정보 없음,,,,59.74,60,59.74|59.91,삼익플라주행복한마을
11470,11470-4948,71.2,K-apt 면적정보 없음,,,,71.2,71,71.2,삼익플라주행복한마을
11470,11470-4948,84.45,K-apt 면적정보 없음,,,,84.45,84,84.45,삼익플라주행복한마을
11470,11470-4958,76.82,K-apt 면적정보 없음,,,,76.82,77,76.82,동서
11470,11470-4981,44.8,K-apt 면적정보 없음,,,,44.8,45,44.8,예지보금자리74차
11470,11470-4981,55.69,K-apt 면적정보 없음,,,,55.69,56,55.69,예지보금자리74차
11470,11470-4981,58.9,K-apt 면적정보 없음,,,,58.9,59,58.9,예지보금자리74차
11470,11470-4993,59.474,면적 매칭,A15883402,59.474,23,59.474,60,59.474|59.747|59.948,롯데캐슬
11470,11470-4993,59.747,면적 매칭,A15883402,59.747,118,59.474,60,59.474|59.747|59.948,롯데캐슬
11470,11470-4993,59.948,면적 매칭,A15883402,59.948,58,59.474,60,59.474|59.747|59.948,롯데캐슬
11470,11470-4993,84.966,면적 매칭,A15883402,84.966,182,84.966,85,84.966|84.984,롯데캐슬
11470,11470-4993,84.984,면적 매칭,A15883402,84.984,294,84.966,85,84.966|84.984,롯데캐슬
11470,11470-4993,116.375,면적 매칭,A15883402,116.375,76,116.375,116,116.375,롯데캐슬
11470,11470-4993,129.368,면적 매칭,A15883402,129.368,19,129.368,129,129.368,롯데캐슬
11470,11470-5,59.67,면적 매칭,A10024823,59.67,47,59.67,60,59.67,금호아파트(768)
11470,11470-5,84.92,면적 매칭,A10024823,84.92,56,84.92,85,84.92,금호아파트(768)
11470,11470-5010,83.25,K-apt 면적정보 없음,,,,83.25,83,83.25|83.43|83.75,수명산그린시아
11470,11470-5010,83.43,K-apt 면적정보 없음,,,,83.25,83,83.25|83.43|83.75,수명산그린시아
